zona_censal_residencia;n;criterio
13116061002;12;No
13117051004;12;No
13119011005;12;No
13119021001;12;No
13119231005;12;No
13120051001;12;No
13120051004;12;No
13120071001;12;No
13120091001;12;No
13120101008;12;No
13121031001;12;No
13121041002;12;No
13121051002;12;No
13122061004;12;No
13124031004;12;No
13124041002;12;No
13124061023;12;No
13124101003;12;No
13125011006;12;No
13126061003;12;No
13127061003;12;No
13127131002;12;No
13128011001;12;No
13128011003;12;No
13129011003;12;No
13129021002;12;No
13129071001;12;No
13130051002;12;No
13130061001;12;No
13131061002;12;No
13132011003;12;No
13201011002;12;No
13201031001;12;No
13201161001;12;No
13201161004;12;No
13301061001;12;No
13401011001;12;No
13401061013;12;No
13401101003;12;No
13401141005;12;No
13402011005;12;No
13402011007;12;No
13404011002;12;No
13601031002;12;No
13604041004;12;No
13605021006;12;No
13605031003;12;No
13101211001;13;No
13101231001;13;No
13102011002;13;No
13103021004;13;No
13103061002;13;No
13103071001;13;No
13103071004;13;No
13104011001;13;No
13104031002;13;No
13104051002;13;No
13104051005;13;No
13105051001;13;No
13105061001;13;No
13105091002;13;No
13106081004;13;No
13106101001;13;No
13110011003;13;No
13110021001;13;No
13110051004;13;No
13110071004;13;No
13110101001;13;No
13110131002;13;No
13110151002;13;No
13110161002;13;No
13111031003;13;No
13111051001;13;No
13111061003;13;No
13112021004;13;No
13112031002;13;No
13114031001;13;No
13114111003;13;No
13115011003;13;No
13117011002;13;No
13118041003;13;No
13119011001;13;No
13119071008;13;No
13119111001;13;No
13119141005;13;No
13119181005;13;No
13119181007;13;No
13119201001;13;No
13120021006;13;No
13120031002;13;No
13120041003;13;No
13120051003;13;No
13121011001;13;No
13121031002;13;No
13122021003;13;No
13122061002;13;No
13123021004;13;No
13124011002;13;No
13124051001;13;No
13124061005;13;No
13124061010;13;No
13126021001;13;No
13127071003;13;No
13128051001;13;No
13128061003;13;No
13128061005;13;No
13128091004;13;No
13130011002;13;No
13201011003;13;No
13201061003;13;No
13201131003;13;No
13201161008;13;No
13401021002;13;No
13401061005;13;No
13401111006;13;No
13401121001;13;No
13402041003;13;No
13501011006;13;No
13602011002;13;No
13605011001;13;No
13605011002;13;No
13605031005;13;No
13101191001;14;No
13103011004;14;No
13103041001;14;No
13103071005;14;No
13104101003;14;No
13105031002;14;No
13105071004;14;No
13107011003;14;No
13107021003;14;No
13107031001;14;No
13107041003;14;No
13108021005;14;No
13108061001;14;No
13109011001;14;No
13109021004;14;No
13109061001;14;No
13110031006;14;No
13110051002;14;No
13110061003;14;No
13110141002;14;No
13110181001;14;No
13110181003;14;No
13110201003;14;No
13110211001;14;No
13110211003;14;No
13111031002;14;No
13112021003;14;No
13112031004;14;No
13112041007;14;No
13112071001;14;No
13112071003;14;No
13112071004;14;No
13112081001;14;No
13113021001;14;No
13114031003;14;No
13115021002;14;No
13116041001;14;No
13116041002;14;No
13116071002;14;No
13116071003;14;No
13117011001;14;No
13117031001;14;No
13118011002;14;No
13118011003;14;No
13118031002;14;No
13118051005;14;No
13119021008;14;No
13119031003;14;No
13119081002;14;No
13119111003;14;No
13119121003;14;No
13119141010;14;No
13119221001;14;No
13120021002;14;No
13120101002;14;No
13121041001;14;No
13121051004;14;No
13122031010;14;No
13122041002;14;No
13122081002;14;No
13122091003;14;No
13124061006;14;No
13124091003;14;No
13124101001;14;No
13125021002;14;No
13125041003;14;No
13126081002;14;No
13127041003;14;No
13127051001;14;No
13128041002;14;No
13128081002;14;No
13128101003;14;No
13129031002;14;No
13129031003;14;No
13129061002;14;No
13130051004;14;No
13131011003;14;No
13132041006;14;No
13201051001;14;No
13201051002;14;No
13201071001;14;No
13201071003;14;No
13201131004;14;No
13201151001;14;No
13201161009;14;No
13201181008;14;No
13301011001;14;No
13301061002;14;No
13303011001;14;No
13401031001;14;No
13401091004;14;No
13401111004;14;No
13401131001;14;No
13402011008;14;No
13501011001;14;No
13501021001;14;No
13603011001;14;No
13604041003;14;No
13605031002;14;No
13101171001;15;No
13103081002;15;No
13104021002;15;No
13104041003;15;No
13105011002;15;No
13105061002;15;No
13105091001;15;No
13106061002;15;No
13106061003;15;No
13106071002;15;No
13106081003;15;No
13108061002;15;No
13109021003;15;No
13109031002;15;No
13109051003;15;No
13110071001;15;No
13110101004;15;No
13110111004;15;No
13110121001;15;No
13110131003;15;No
13110171001;15;No
13110191001;15;No
13111081002;15;No
13111081004;15;No
13112011002;15;No
13112041002;15;No
13112051001;15;No
13112051003;15;No
13112051008;15;No
13112051010;15;No
13112081009;15;No
13113011003;15;No
13114011002;15;No
13114081005;15;No
13114091001;15;No
13114121001;15;No
13114161001;15;No
13116011003;15;No
13116031003;15;No
13116041004;15;No
13116071004;15;No
13118051003;15;No
13119101002;15;No
13119141002;15;No
13119181001;15;No
13119191008;15;No
13119221002;15;No
13120011007;15;No
13120061001;15;No
13121071004;15;No
13122031008;15;No
13122061003;15;No
13123021007;15;No
13123061003;15;No
13124061016;15;No
13125021011;15;No
13125021015;15;No
13125041004;15;No
13125041006;15;No
13125041015;15;No
13126061002;15;No
13127111002;15;No
13127121002;15;No
13128021006;15;No
13129051001;15;No
13129071003;15;No
13131031003;15;No
13131041002;15;No
13131061001;15;No
13132021003;15;No
13201051005;15;No
13201071002;15;No
13201091002;15;No
13201141001;15;No
13201181003;15;No
13301011005;15;No
13301061004;15;No
13302031003;15;No
13303021001;15;No
13401051001;15;No
13401061006;15;No
13401061012;15;No
13401071002;15;No
13401111005;15;No
13402041002;15;No
13404061003;15;No
13503011001;15;No
13604041006;15;No
13101141001;16;No
13101241002;16;No
13102021002;16;No
13102041001;16;No
13103041003;16;No
13104051006;16;No
13104101001;16;No
13107011002;16;No
13107011009;16;No
13107021002;16;No
13108011001;16;No
13109021002;16;No
13110111006;16;No
13110131001;16;No
13110141003;16;No
13110161004;16;No
13110171002;16;No
13111011001;16;No
13112041006;16;No
13113031002;16;No
13113041002;16;No
13113051002;16;No
13114021002;16;No
13114121003;16;No
13114121005;16;No
13114161002;16;No
13116031002;16;No
13117041004;16;No
13118031005;16;No
13119011002;16;No
13119081001;16;No
13119141011;16;No
13119161001;16;No
13119201006;16;No
13119201010;16;No
13119211002;16;No
13119231006;16;No
13119231008;16;No
13122021002;16;No
13122031001;16;No
13123041003;16;No
13124061019;16;No
13125021001;16;No
13125021012;16;No
13125021017;16;No
13125041002;16;No
13125041013;16;No
13126041001;16;No
13126061001;16;No
13127071001;16;No
13127111005;16;No
13128071006;16;No
13129051003;16;No
13131011004;16;No
13131051003;16;No
13131071001;16;No
13132021005;16;No
13201021008;16;No
13201081006;16;No
13201141006;16;No
13201141008;16;No
13201151002;16;No
13401011002;16;No
13401021001;16;No
13401081008;16;No
13401091001;16;No
13401101005;16;No
13402021002;16;No
13404061004;16;No
13501141002;16;No
13503011003;16;No
13604031002;16;No
13605021008;16;No
13103021005;17;No
13103091001;17;No
13104091001;17;No
13105051005;17;No
13105061003;17;No
13106041002;17;No
13106091002;17;No
13107011005;17;No
13107011008;17;No
13107031002;17;No
13108021003;17;No
13109041002;17;No
13110031003;17;No
13110061008;17;No
13110091001;17;No
13110121002;17;No
13110161003;17;No
13111011002;17;No
13111031001;17;No
13112051011;17;No
13113071003;17;No
13114011009;17;No
13114061002;17;No
13114091002;17;No
13115011002;17;No
13115011005;17;No
13115011006;17;No
13115041003;17;No
13118041005;17;No
13119071004;17;No
13119081004;17;No
13119091002;17;No
13119171002;17;No
13119221004;17;No
13120011002;17;No
13120021001;17;No
13121021003;17;No
13121081001;17;No
13122031009;17;No
13122051004;17;No
13123071001;17;No
13124061011;17;No
13124061015;17;No
13124091001;17;No
13125021004;17;No
13125041014;17;No
13126011002;17;No
13126071001;17;No
13127021002;17;No
13127041001;17;No
13127061004;17;No
13128031002;17;No
13130031002;17;No
13132021006;17;No
13132041005;17;No
13132041007;17;No
13132051002;17;No
13201051006;17;No
13201081008;17;No
13201101001;17;No
13201111004;17;No
13201121001;17;No
13201121006;17;No
13201151003;17;No
13301011008;17;No
13401051003;17;No
13401061007;17;No
13401081003;17;No
13401141004;17;No
13402011006;17;No
13403051002;17;No
13501011003;17;No
13605021001;17;No
13605021002;17;No
13102041003;18;No
13103011005;18;No
13103011006;18;No
13103071002;18;No
13104021004;18;No
13105021003;18;No
13105041001;18;No
13105071005;18;No
13105081004;18;No
13109011003;18;No
13110121004;18;No
13110171006;18;No
13112061001;18;No
13113031003;18;No
13113041003;18;No
13115021003;18;No
13115041005;18;No
13116011002;18;No
13116021002;18;No
13119051006;18;No
13119181004;18;No
13122021001;18;No
13122031004;18;No
13123021001;18;No
13123051002;18;No
13125041008;18;No
13129061003;18;No
13131011002;18;No
13131021002;18;No
13201031007;18;No
13201051003;18;No
13201061005;18;No
13201071004;18;No
13201071005;18;No
13201131002;18;No
13302031001;18;No
13302031002;18;No
13401061011;18;No
13401101001;18;No
13401131002;18;No
13605011003;18;No
13102031003;19;No
13105021002;19;No
13105061005;19;No
13105071001;19;No
13105091003;19;No
13106101004;19;No
13106141001;19;No
13106141002;19;No
13108031002;19;No
13109041001;19;No
13110031004;19;No
13110171004;19;No
13114031002;19;No
13114111002;19;No
13116011001;19;No
13116031001;19;No
13118021002;19;No
13119071013;19;No
13119201002;19;No
13120011004;19;No
13120011006;19;No
13120041002;19;No
13120041005;19;No
13120071007;19;No
13121071001;19;No
13122061001;19;No
13122101005;19;No
13124021001;19;No
13124061008;19;No
13124061014;19;No
13125011005;19;No
13125021007;19;No
13125021016;19;No
13125041001;19;No
13126011001;19;No
13126051001;19;No
13130021003;19;No
13130061002;19;No
13131041001;19;No
13131071003;19;No
13132031001;19;No
13132041002;19;No
13201041004;19;No
13201061002;19;No
13201061004;19;No
13201171001;19;No
13201171004;19;No
13201191003;19;No
13401041001;19;No
13401081007;19;No
13401091003;19;No
13401101002;19;No
13601041003;19;No
13104041002;20;No
13105051004;20;No
13105071002;20;No
13110031002;20;No
13110041001;20;No
13110071005;20;No
13110091004;20;No
13110101002;20;No
13110111002;20;No
13110111005;20;No
13110151001;20;No
13111081003;20;No
13114071003;20;No
13114081004;20;No
13115011012;20;No
13117021003;20;No
13119061002;20;No
13119071005;20;No
13119071007;20;No
13119071009;20;No
13119201003;20;No
13119201007;20;No
13120041004;20;No
13120091002;20;No
13125011002;20;No
13125041009;20;No
13126051002;20;No
13126091002;20;No
13128071001;20;No
13128071007;20;No
13132041004;20;No
13201071006;20;No
13201121003;20;No
13201121005;20;No
13201181001;20;No
13401081002;20;No
13401081004;20;No
13401091002;20;No
13401101006;20;No
13404061001;20;No
13501021003;20;No
13603021002;20;No
13102041002;21;Sí
13103061003;21;Sí
13103071003;21;Sí
13105071003;21;Sí
13110061002;21;Sí
13110101003;21;Sí
13110111001;21;Sí
13110111003;21;Sí
13110171003;21;Sí
13111071002;21;Sí
13113031001;21;Sí
13113071001;21;Sí
13114051001;21;Sí
13114081001;21;Sí
13114101005;21;Sí
13114141001;21;Sí
13115021005;21;Sí
13115041004;21;Sí
13117041003;21;Sí
13119021007;21;Sí
13119021009;21;Sí
13119071011;21;Sí
13119141003;21;Sí
13120111007;21;Sí
13124021006;21;Sí
13125011001;21;Sí
13127131001;21;Sí
13131051004;21;Sí
13132041008;21;Sí
13132051001;21;Sí
13201021001;21;Sí
13201141005;21;Sí
13201191012;21;Sí
13401031003;21;Sí
13401061004;21;Sí
13401081001;21;Sí
13402011010;21;Sí
13501021006;21;Sí
13601041002;21;Sí
13603021003;21;Sí
13605011005;21;Sí
13105041002;22;Sí
13109031003;22;Sí
13110061005;22;Sí
13111041002;22;Sí
13112031003;22;Sí
13113051004;22;Sí
13114051002;22;Sí
13114071004;22;Sí
13114081003;22;Sí
13114101001;22;Sí
13115011007;22;Sí
13116041003;22;Sí
13119171003;22;Sí
13119171004;22;Sí
13119191007;22;Sí
13122111003;22;Sí
13124061022;22;Sí
13125021008;22;Sí
13125021013;22;Sí
13125041012;22;Sí
13128061002;22;Sí
13128071004;22;Sí
13131031002;22;Sí
13132041001;22;Sí
13201041003;22;Sí
13201051010;22;Sí
13201101006;22;Sí
13201191011;22;Sí
13301011003;22;Sí
13401081006;22;Sí
13402051001;22;Sí
13601011004;22;Sí
13601041004;22;Sí
13105061004;23;Sí
13105081002;23;Sí
13109011002;23;Sí
13110061004;23;Sí
13110171005;23;Sí
13110191003;23;Sí
13111021001;23;Sí
13111071001;23;Sí
13111071005;23;Sí
13112041001;23;Sí
13112051006;23;Sí
13114071001;23;Sí
13115011009;23;Sí
13116071001;23;Sí
13119091001;23;Sí
13119141008;23;Sí
13119201011;23;Sí
13121071003;23;Sí
13122051001;23;Sí
13124061001;23;Sí
13124061003;23;Sí
13124061017;23;Sí
13125041005;23;Sí
13126081003;23;Sí
13130021002;23;Sí
13201021005;23;Sí
13201041005;23;Sí
13201091001;23;Sí
13501011004;23;Sí
13601011001;23;Sí
13605011004;23;Sí
13103051002;24;Sí
13104101002;24;Sí
13106081005;24;Sí
13110041002;24;Sí
13110081001;24;Sí
13114051004;24;Sí
13114101004;24;Sí
13116051001;24;Sí
13118011001;24;Sí
13119051007;24;Sí
13119061001;24;Sí
13119071010;24;Sí
13119081003;24;Sí
13119101001;24;Sí
13119171005;24;Sí
13120021003;24;Sí
13122051005;24;Sí
13122111002;24;Sí
13122111005;24;Sí
13125021005;24;Sí
13131051002;24;Sí
13201051007;24;Sí
13201061006;24;Sí
13201071007;24;Sí
13201101002;24;Sí
13201111001;24;Sí
13201191007;24;Sí
13401111001;24;Sí
13402011001;24;Sí
13601011003;24;Sí
13602011005;24;Sí
13605031006;24;Sí
13105031001;25;Sí
13111051004;25;Sí
13113051001;25;Sí
13113071005;25;Sí
13115011004;25;Sí
13118021007;25;Sí
13119021004;25;Sí
13119201005;25;Sí
13119211005;25;Sí
13120101007;25;Sí
13121041003;25;Sí
13122111001;25;Sí
13124051003;25;Sí
13125041010;25;Sí
13126081001;25;Sí
13201051008;25;Sí
13201101005;25;Sí
13201111002;25;Sí
13201121002;25;Sí
13402031002;25;Sí
13402041001;25;Sí
13110091002;26;Sí
13110101005;26;Sí
13114041003;26;Sí
13114141003;26;Sí
13115041001;26;Sí
13119021003;26;Sí
13119051005;26;Sí
13119181006;26;Sí
13119181008;26;Sí
13119211001;26;Sí
13121011002;26;Sí
13124061024;26;Sí
13201191005;26;Sí
13105081005;27;Sí
13105101002;27;Sí
13110081004;27;Sí
13111061001;27;Sí
13114141002;27;Sí
13114161004;27;Sí
13119021010;27;Sí
13119071001;27;Sí
13119141009;27;Sí
13121061002;27;Sí
13122031003;27;Sí
13122091002;27;Sí
13123051001;27;Sí
13125041007;27;Sí
13127041002;27;Sí
13130071002;27;Sí
13201081002;27;Sí
13201101003;27;Sí
13201191002;27;Sí
13201191010;27;Sí
13107011004;28;Sí
13109031001;28;Sí
13115011001;28;Sí
13119191006;28;Sí
13120051002;28;Sí
13124061021;28;Sí
13201171002;28;Sí
13404061002;28;Sí
13111071003;29;Sí
13113071002;29;Sí
13114161003;29;Sí
13118021004;29;Sí
13119071002;29;Sí
13119161002;29;Sí
13119161003;29;Sí
13119201009;29;Sí
13119211004;29;Sí
13121011003;29;Sí
13125021010;29;Sí
13125021020;29;Sí
13125041011;29;Sí
13201081001;29;Sí
13201181009;29;Sí
13110081002;30;Sí
13110111007;30;Sí
13114061001;30;Sí
13119141007;30;Sí
13119191003;30;Sí
13119191009;30;Sí
13119201004;30;Sí
13119221003;30;Sí
13201081005;30;Sí
13201121004;30;Sí
13201141002;30;Sí
13601011002;30;Sí
13112021001;31;Sí
13113061001;31;Sí
13114041001;31;Sí
13119071012;31;Sí
13119191004;31;Sí
13124061018;31;Sí
13201111003;31;Sí
13201141003;31;Sí
13201141004;31;Sí
13114091003;32;Sí
13118031001;32;Sí
13119201008;32;Sí
13124061002;32;Sí
13124061007;32;Sí
13110061006;33;Sí
13113061002;33;Sí
13119191002;33;Sí
13124061009;33;Sí
13201171007;33;Sí
13201191008;33;Sí
13201101004;34;Sí
13114151003;35;Sí
13119211003;35;Sí
13122031007;35;Sí
13201081007;35;Sí
13201091004;35;Sí
13201171006;35;Sí
13103021001;36;Sí
13201081004;36;Sí
13201191009;36;Sí
13103091003;37;Sí
13110081003;37;Sí
13114071002;37;Sí
13119021005;37;Sí
13119141004;37;Sí
13201161007;37;Sí
13122111004;38;Sí
13201091003;38;Sí
13201171005;38;Sí
13115011010;39;Sí
13119071003;39;Sí
13114041002;40;Sí
13115011008;40;Sí
13122031002;40;Sí
13201081003;40;Sí
13201161003;40;Sí
13201191006;40;Sí
13110091005;41;Sí
13111071004;42;Sí
13113051003;42;Sí
13113021002;43;Sí
13119021006;43;Sí
13119171001;43;Sí
13201191001;44;Sí
13122031005;45;Sí
13122031006;47;Sí
13132031002;47;Sí
13114151001;96;Sí
